e0c6d0d6fa513083,CZKT,DB001,1#空调循环泵电量
e0c6d0d6fa513083,CZKT,DB001,2#空调循环泵电量
e0c6d0d6fa513083,CZKT,NLB001,空调总管能量（冷、热）
c01d5216efadf743,ELCSJ,DB001,二楼茶水间热水器电量
c01d5216efadf743,ELCSJ,SB001,二楼茶水间水表
d6df8e7f09e7829d,YLCSJ,DB001,一楼茶水间热水器电量
d6df8e7f09e7829d,YLCSJ,SB001,一楼茶水间水表
86ab07cb046f4c9a,SWLTJ,SB001,室外水表
87c48baf438b8b89,YLLTJ,DB001,一楼电量
87c48baf438b8b89,YLLTJ,DB002,二楼电量
87c48baf438b8b89,YLLTJ,DB003,三楼电量
87c48baf438b8b89,YLLTJ,DB004,1#空调主机电量
87c48baf438b8b89,YLLTJ,DB005,2#空调主机电量
87c48baf438b8b89,YLLTJ,DB006,一楼展厅电量
87c48baf438b8b89,YLLTJ,DB007,空调循环泵总电量
